id,name,category,wikiLinks
6sqyf9,Abrasive Whetstone,amulet,https://remnant.wiki/Abrasive_Whetstone
ca8ada,Ankh of Power,amulet,https://remnant.wiki/Ankh_of_Power
n8gqNY,Beads of the Valorous,amulet,https://remnant.wiki/Beads_of_the_Valorous
41ookr,Birthright of the Lost,amulet,https://remnant.wiki/Birthright_of_the_Lost
mkroo2,Brazen Amalgam,amulet,https://remnant.wiki/Brazen_Amalgam
6il3tm,Brewmaster's Cork,amulet,https://remnant.wiki/Brewmaster's_Cork
sap1xm,Broken Pocket Watch,amulet,https://remnant.wiki/Broken_Pocket_Watch
67s1pu,Butcher's Fetish,amulet,https://remnant.wiki/Butcher's_Fetish
z496hr,Canine Keepsake,amulet,https://remnant.wiki/Canine_Keepsake
5sfzsd,Cervine Keepsake,amulet,https://remnant.wiki/Cervine_Keepsake
zXxT8K,Cessation Bulbel,amulet,https://remnant.wiki/Cessation_Bulbel
5sfzsx,Chains of Amplification,amulet,https://remnant.wiki/Chains_of_Amplification
9yuvc8,Chef Medal,amulet,https://remnant.wiki/Chef_Medal
nm7b6f,Cleansing Stone,amulet,https://remnant.wiki/Cleansing_Stone
wb4ixr,Core Booster,amulet,https://remnant.wiki/Core_Booster
hug5mz,Cost of Betrayal,amulet,https://remnant.wiki/Cost_of_Betrayal
L6noPy,Crisis Core,amulet,https://remnant.wiki/Crisis_Core
ik580i,Daredevil's Charm,amulet,https://remnant.wiki/Daredevil's_Charm
i13ipm,Death's Embrace,amulet,https://remnant.wiki/Death's_Embrace
ui1miz,Death-Soaked Idol,amulet,https://remnant.wiki/Death-Soaked_Idol
dipf2o,Decayed Margin,amulet,https://remnant.wiki/Decayed_Margin
3zi80a,Detonation Trigger,amulet,https://remnant.wiki/Detonation_Trigger
2zr6vu,Difference Engine,amulet,https://remnant.wiki/Difference_Engine
1k2x4r,Downward Spiral,amulet,https://remnant.wiki/Downward_Spiral
rPV99a,Echo Chamber,amulet,https://remnant.wiki/Echo_Chamber
2VokuK,Echo of the Forest,amulet,https://remnant.wiki/Echo_of_the_Forest
vkcf4e,Effigy Pendant,amulet,https://remnant.wiki/Effigy_Pendant
kah85t,Effluvium Enhancer,amulet,https://remnant.wiki/Effluvium_Enhancer
8dcefr,Emergency Switch,amulet,https://remnant.wiki/Emergency_Switch
c52jp0,Energized Neck Coil,amulet,https://remnant.wiki/Energized_Neck_Coil
evwgwk,Energy Diverter,amulet,https://remnant.wiki/Energy_Diverter
vxcn9e,Escalation Protocol,amulet,https://remnant.wiki/Escalation_Protocol
C22peH,Exhaust Valve,amulet,https://remnant.wiki/Exhaust_Valve
Hx5iNF,Fragrant Thorn,amulet,https://remnant.wiki/Fragrant_Thorn
8xn7hh,Full Moon Circlet,amulet,https://remnant.wiki/Full_Moon_Circlet
70ryol,Gift of Euphoria,amulet,https://remnant.wiki/Gift_of_Euphoria
65851b,Gift of Melancholy,amulet,https://remnant.wiki/Gift_of_Melancholy
u7am0w,Gift of the Unbound,amulet,https://remnant.wiki/Gift_of_the_Unbound
m0l0u5,Golden Ribbon,amulet,https://remnant.wiki/Golden_Ribbon
wbqua6,Gunfire Security Lanyard,amulet,https://remnant.wiki/Gunfire_Security_Lanyard
qqg64h,Gunslinger's Charm,amulet,https://remnant.wiki/Gunslinger's_Charm
pfew3v,Hallowed Egg,amulet,https://remnant.wiki/Hallowed_Egg
4zvuco,Hangman's Noose,amulet,https://remnant.wiki/Hangman's_Noose
c0z3fy,Hyperconductor,amulet,https://remnant.wiki/Hyperconductor
3lzs0c,Index of the Scribe,amulet,https://remnant.wiki/Index_of_the_Scribe
dqhstq,Indignant Fetish,amulet,https://remnant.wiki/Indignant_Fetish
k8d15f,Inert Overcharger,amulet,https://remnant.wiki/Inert_Overcharger
65ygbg,Insipid Talon,amulet,https://remnant.wiki/Insipid_Talon
k1oijc,Insulation Driver,amulet,https://remnant.wiki/Insulation_Driver
lpv0qq,Jester's Bell,amulet,https://remnant.wiki/Jester's_Bell
femylz,Kinetic Shield Exchanger,amulet,https://remnant.wiki/Kinetic_Shield_Exchanger
04yl4w,Kuri Kuri Charm,amulet,https://remnant.wiki/Kuri_Kuri_Charm
hwpkls,Laemir Censer,amulet,https://remnant.wiki/Laemir_Censer
a7axvo,Legacy Protocol,amulet,https://remnant.wiki/Legacy_Protocol
rpxs8n,Leto's Amulet,amulet,https://remnant.wiki/Leto's_Amulet
zo9Dkk,Magnifying Glass,amulet,https://remnant.wiki/Magnifying_Glass
jlch5h,Matriarch's Insignia,amulet,https://remnant.wiki/Matriarch's_Insignia
zo9Dkd,Moon Stone,amulet,https://remnant.wiki/Moon_Stone
pd4ez1,Navigator's Pendant,amulet,https://remnant.wiki/Navigator's_Pendant
r11n5x,Neckbone Necklace,amulet,https://remnant.wiki/Neckbone_Necklace
8q9cj1,Necklace of Flowing Life,amulet,https://remnant.wiki/Necklace_of_Flowing_Life
dm67y5,Necklace of Supremacy,amulet,https://remnant.wiki/Necklace_of_Supremacy
mewmtq,Nightmare Spiral,amulet,https://remnant.wiki/Nightmare_Spiral
0aaso1,Nightweaver's Grudge,amulet,https://remnant.wiki/Nightweaver's_Grudge
sqsdvj,Nimue's Ribbon,amulet,https://remnant.wiki/Nimue's_Ribbon
j5ew1m,One True King Sigil,amulet,https://remnant.wiki/One_True_King_Sigil
yl1ah9,One-Eyed Joker Idol,amulet,https://remnant.wiki/One-Eyed_Joker_Idol
ps6umu,Onyx Pendulum,amulet,https://remnant.wiki/Onyx_Pendulum
xz3z4k,Ornate Amulet,amulet,https://remnant.wiki/Ornate_Amulet
588hoi,Participation Medal,amulet,https://remnant.wiki/Participation_Medal
YsS9NW,Profane Soul Stone,amulet,https://remnant.wiki/Profane_Soul_Stone
542njq,Quantum Memory,amulet,https://remnant.wiki/Quantum_Memory
t7x0op,Range Finder,amulet,https://remnant.wiki/Range_Finder
gh0gk6,Ravager's Mark,amulet,https://remnant.wiki/Ravager's_Mark
k1cwam,Reaction Chain,amulet,https://remnant.wiki/Reaction_Chain
xxp0ri,Red Doe Sigil,amulet,https://remnant.wiki/Red_Doe_Sigil
U2Vekv,Reed of the Vaunnt,amulet,https://remnant.wiki/Reed_of_the_Vaunnt
fwtqy6,Relay Device,amulet,https://remnant.wiki/Relay_Device
iq6zyc,Rusted Navigator's Pendant,amulet,https://remnant.wiki/Rusted_Navigator's_Pendant
z7ivk2,Samoflange,amulet,https://remnant.wiki/Samoflange
j2jso0,Scavenger's Bauble,amulet,https://remnant.wiki/Scavenger's_Bauble
ib2as6,Shaed Bloom Crystal,amulet,https://remnant.wiki/Shaed_Bloom_Crystal
9z1g8f,Shock Device,amulet,https://remnant.wiki/Shock_Device
yuW4pJ,Short Circuit,amulet,https://remnant.wiki/Short_Circuit
k8j2r3,Silver Ribbon,amulet,https://remnant.wiki/Silver_Ribbon
qwguja,Sinister Totem,amulet,https://remnant.wiki/Sinister_Totem
6amich,Soul Anchor,amulet,https://remnant.wiki/Soul_Anchor
z7ivk3,Soul Stone,amulet,https://remnant.wiki/Soul_Stone
n1y24e,Spirit Wisp Amulet,amulet,https://remnant.wiki/Spirit_Wisp_Amulet
rcyafk,Stalker's Brand,amulet,https://remnant.wiki/Stalker's_Brand
41ookg,Stoneshaper's Chisel,amulet,https://remnant.wiki/Stoneshaper's_Chisel
8jy9hv,Talisman of the Sun,amulet,https://remnant.wiki/Talisman_of_the_Sun
t4ho4m,Timekeeper's Forfeit,amulet,https://remnant.wiki/Timekeeper's_Forfeit
nevpy5,Toxic Release Valve,amulet,https://remnant.wiki/Toxic_Release_Valve
776kn2,Twisted Idol,amulet,https://remnant.wiki/Twisted_Idol
1ucgis,Vengeance Idol,amulet,https://remnant.wiki/Vengeance_Idol
rctnex,Void Idol,amulet,https://remnant.wiki/Void_Idol
up6mi1,Volatile Cartridge,amulet,https://remnant.wiki/Volatile_Cartridge
b9l389,Weightless Weight,amulet,https://remnant.wiki/Weightless_Weight
2e2hh5,Whispering Marble,amulet,https://remnant.wiki/Whispering_Marble
69dogy,Worn Dog Tags,amulet,https://remnant.wiki/Worn_Dog_Tags
ryS67y,Zero Divide,amulet,https://remnant.wiki/Zero_Divide
ozin1d,Zero Hour,amulet,https://remnant.wiki/Zero_Hour
67pme7,Alchemist,archetype,https://remnant.wiki/Alchemist
og1fvq,Archon,archetype,https://remnant.wiki/Archon
wm2xsy,Challenger,archetype,https://remnant.wiki/Challenger
98i1ka,Engineer,archetype,https://remnant.wiki/Engineer
la3vvu,Explorer,archetype,https://remnant.wiki/Explorer
d2qga5,Gunslinger,archetype,https://remnant.wiki/Gunslinger
aazlxe,Handler,archetype,https://remnant.wiki/Handler
5tkqdz,Hunter,archetype,https://remnant.wiki/Hunter
0ipjpk,Invader,archetype,https://remnant.wiki/Invader
Y2NhrX,Invoker,archetype,https://remnant.wiki/Invoker
d6fvmc,Medic,archetype,https://remnant.wiki/Medic
1q7z9d,Ritualist,archetype,https://remnant.wiki/Ritualist
og0bwx,Summoner,archetype,https://remnant.wiki/Summoner
tn0x3c,Warden,archetype,https://remnant.wiki/Warden
hqjxyn,Bark Extract,concoction,https://remnant.wiki/Bark_Extract
qj302c,Bottled Shaedberry,concoction,https://remnant.wiki/Bottled_Shaedberry
fhm256,Chilled Steam,concoction,https://remnant.wiki/Chilled_Steam
8p2sj3,Dark Cider,concoction,https://remnant.wiki/Dark_Cider
byi9a5,Dark Fluid,concoction,https://remnant.wiki/Dark_Fluid
byi9d,Egg Drink,concoction,https://remnant.wiki/Egg_Drink
4yzeco,Meat Shake,concoction,https://remnant.wiki/Meat_Shake
yduuj3,Mudtooth's Elixir,concoction,https://remnant.wiki/Mudtooth's_Elixir
ru74g9,Mudtooth's Snake Oil,concoction,https://remnant.wiki/Mudtooth's_Snake_Oil
5yrxf1,Mudtooth's Stew,concoction,https://remnant.wiki/Mudtooth's_Stew
p0ru94,Mudtooth's Tonic,concoction,https://remnant.wiki/Mudtooth's_Tonic
d715ws,Numbing Agent,concoction,https://remnant.wiki/Numbing_Agent
56vkqr,Root Water,concoction,https://remnant.wiki/Root_Water
dk9yg4,Sacred Lakewater,concoction,https://remnant.wiki/Sacred_Lakewater
kyulid,Sanguine Vapor,concoction,https://remnant.wiki/Sanguine_Vapor
to2dcw,Strong Drink,concoction,https://remnant.wiki/Strong_Drink
l7r9sm,Tranquility Font,concoction,https://remnant.wiki/Tranquility_Font
