item_id,wiki_page
Material_ShinningEssenceEcho,Shining Essence Echo
Quest_Item_Asylum_PrisonKey,Prison Cell Key
Quest_Item_Asylum_StoneDoll_1,Stone-carved Doll
Quest_Item_Asylum_StoneDoll_2,Stone-carved Doll
Quest_Item_Asylum_StoneDoll_3,Stone-carved Doll
Quest_Item_Asylum_StoneDoll_Final,Nightweaver Stone Doll
Quest_Item_Asylum_ThirdFloorKey,Asylum Third Floor Key
Quest_Item_CharnelHouse_Anklet,Dria's Anklet
Quest_Item_ClockTower_Flywheel,Clockwork Pinion
Quest_Item_Consumable_01_FruitOfDeath,Fruit of Death
Quest_Item_Core_OverridePin,Override Pin
Quest_Item_CrimsonKingCoin,Crimson King Coin
Quest_Item_DLC3_CropSample,Crop Sample
Quest_Item_Extermination_AICore,Memory Core II
Quest_Item_GardenMaze_MausoleumMedallionKey,Memoriam Medallion Key
Quest_Item_KolketsKey,Kolket's Key
Quest_Item_KolketsRazor,Kolket's Razor
Quest_Item_OTK_FeastmasterLeftovers,Feast Master's Leftovers
Quest_Item_OTK_NimuesBloodWard,Nimue's Blood-Marred Vow
Quest_Item_OrnateLockbox,Ornate Lockbox
Quest_Item_RavenousMedallion,Ravenous Medallion
Quest_Item_StasisSiege_Keycard,House Lythla Glyph
Quest_Item_Story_DwellsItem,Trinity Memento
Quest_Item_Train_AICore,Decorum Cipher
