name,image_file,wiki_page
Abomination,Abomination.jpg,Abomination
Alepsis Taura,Alepsis-Taura_(boss).jpg,Alepsis-Taura (boss)
Amalgam Kel'Roth and Amalgam Relis,Amalgam_Duo.jpg,The Amalgam Duo
Bedel,Bedel_of_the_Vaunnt.jpg,Bedel
Bloat King,Bloat_King.jpg,Bloat King
Blood Moon Altar,Bloodmoon_Altar.jpg,Bloodmoon Altar
Brabus,Brabus.jpg,Brabus
"Bruin, Blade of The King","Bruin,_Blade_of_the_King.jpg","Bruin, Blade of the King"
Cass,Cass.jpg,Cass
Cinderclad Forge,Cinderclad_Forge.jpg,Cinderclad Forge
Cinderclad Monolith,Cinderclad_Forge.jpg,Cinderclad Monolith
Corrupted Ravager,Corrupted_Ravager.jpg,Corrupted Ravager
Corruptor,Corruptor.jpg,Corruptor
Drzyr Replicator,Drzyr_Replicator.jpg,Drzyr Replicator
Dwell,Dwell.jpg,Dwell
Faelin,Faelin.jpg,Faelin
Faerin,Faerin.jpg,Faerin
Gwendil : The Unburnt,Gwendil_the_Unburnt.jpg,Gwendil: The Unburnt
Gwentdil The Unburnt,Gwendil_the_Unburnt.jpg,Gwendil: The Unburnt
Kaeula's Shadow,Kaeula's_Shadow.jpg,Kaeula's Shadow
Legion,Legion.jpg,Legion
Leywise,Leywise.jpg,Leywise
Lydusa,Lydusa.jpg,Lydusa
Magister Dullain,Magister_Dullain.jpg,Magister Dullain
McCabe,Ava_McCabe.jpg,McCabe
Mother Mind,Mother_Mind.jpg,Mother Mind
Mudtooth,Mudtooth.jpg,Mudtooth
N'Erudian Reaper,N'Erudian_Reaper.jpg,N'Erudian Reaper
Nightweaver,The_Nightweaver.jpg,Nightweaver
Nimue,Nimue.jpg,Nimue
Norah,Dr._Norah.jpg,Dr. Norah
Primogenitor,Primogenitor.jpg,Primogenitor
Reggie,Reginald_Reggie_Malone.jpg,Reggie
Sha’Hala: Guardian of N’Erud,Sha'Hala_Guardian_of_N'Erud.jpg,Sha'Hala
Shrewd,Shrewd.jpg,Shrewd
Spark,Spark.jpg,Spark
Sunken Witch,Sunken_Witch.jpg,Sunken Witch
Tal'Ratha,Tal'Ratha.jpg,Tal'Ratha
The Astropath,The_Astropath.jpg,The Astropath
The Custodian's Eye,The_Custodian's_Eye.jpg,The Custodian's Eye
The One True King,The_One_True_King.jpg,The One True King
The Red Prince,The_Red_Prince.jpg,The Red Prince
The Stonewarden,The_Stonewarden.jpg,The Stonewarden
Wallace,Wallace.jpg,Wallace
Walt,Walt.jpg,Walt
Whispers,Whispers.jpg,Whispers
