save_file_slug,toolkit_id,name,image_path
Amulet_AbrasiveWhetstone,6sqyf9,Abrasive Whetstone,/items/amulets/abrasivewhetstone.png
Amulet_AnkhOfPower,ca8ada,Ankh of Power,/items/amulets/ankhofpower.png
Amulet_BeadsOfTheValorous,n8gqNY,Beads of the Valorous,/items/amulets/beadsofthevalorous.png
Amulet_BirthrightOfTheLost,41ookr,Birthright of the Lost,/items/amulets/birthrightofthelost.png
Amulet_BrazenAlloy,mkroo2,Brazen Amalgam,/items/amulets/brazenamalgam.png
Amulet_BrewmastersCork,6il3tm,Brewmaster's Cork,/items/amulets/brewmasterscork.png
Amulet_BrokenPocketWatch,sap1xm,Broken Pocket Watch,/items/amulets/brokenpocketwatch.png
Amulet_ButchersFetish,67s1pu,Butcher's Fetish,/items/amulets/butchersfetish.png
Amulet_CanineKeepsake,z496hr,Canine Keepsake,/items/amulets/caninekeepsake.png
Amulet_CervineKeepsake,5sfzsd,Cervine Keepsake,/items/amulets/cervinekeepsake.png
Amulet_CessationBulbel,zXxT8K,Cessation Bulbel,/items/amulets/cessationbulbel.png
Amulet_ChainsOfAmplification,5sfzsx,Chains of Amplification,/items/amulets/chainsofamplification.png
Amulet_ChefMedal,9yuvc8,Chef Medal,/items/amulets/chefmedal.png
Amulet_CleansingStone,nm7b6f,Cleansing Stone,/items/amulets/cleansingstone.png
Amulet_CoreBooster,wb4ixr,Core Booster,/items/amulets/corebooster.png
Amulet_CostOfBetrayal,hug5mz,Cost of Betrayal,/items/amulets/costofbetrayal.png
Amulet_CrisisCore,L6noPy,Crisis Core,/items/amulets/crisiscore.png
Amulet_DaredevilsCharm,ik580i,Daredevil's Charm,/items/amulets/daredevilscharm.png
Amulet_DeathsEmbrace,i13ipm,Death's Embrace,/items/amulets/deathembrace.png
Amulet_DeathSoakedIdol,ui1miz,Death-Soaked Idol,/items/amulets/deathsoakedidol.png
Amulet_DecayedMargin,dipf2o,Decayed Margin,/items/amulets/decayedmargin.png
Amulet_DetonationTrigger,3zi80a,Detonation Trigger,/items/amulets/detonationtrigger.png
Amulet_DifferenceEngine,2zr6vu,Difference Engine,/items/amulets/differenceengine.png
Amulet_DownwardSpiral,1k2x4r,Downward Spiral,/items/amulets/downwardspiral.png
Amulet_EchoChamber,rPV99a,Echo Chamber,/items/amulets/echochamber.png
Amulet_EchoOfTheForest,2VokuK,Echo of the Forest,/items/amulets/echooftheforest.png
Amulet_EffigyPendant,vkcf4e,Effigy Pendant,/items/amulets/effigypendant.png
Amulet_EffluviumEnhancer,kah85t,Effluvium Enhancer,/items/amulets/effluviumenhancer.png
Amulet_EmergencySwitch,8dcefr,Emergency Switch,/items/amulets/emergencyswitch.png
Amulet_EnergizedNeckCoil,c52jp0,Energized Neck Coil,/items/amulets/energizedneckcoil.png
Amulet_EnergyDiverter,evwgwk,Energy Diverter,/items/amulets/energydiverter.png
Amulet_EscalationProtocol,vxcn9e,Escalation Protocol,/items/amulets/escalationprotocol.png
Amulet_ExhaustValve,C22peH,Exhaust Valve,/items/amulets/exhaustvalve.png
Amulet_FragrantThorn,Hx5iNF,Fragrant Thorn,/items/amulets/fragrantthorn.png
Amulet_FullMoonCirclet,8xn7hh,Full Moon Circlet,/items/amulets/fullmooncirclet.png
Amulet_GiftOfEuphoria,70ryol,Gift of Euphoria,/items/amulets/giftofeuphoria.png
Amulet_GiftOfMelancholy,65851b,Gift of Melancholy,/items/amulets/giftofmelancholy.png
Amulet_GiftOfTheUnbound,u7am0w,Gift of the Unbound,/items/amulets/giftoftheunbound.png
Amulet_GoldenRibbon,m0l0u5,Golden Ribbon,/items/amulets/goldribbon.png
Amulet_GunfireSecurityLanyard,wbqua6,Gunfire Security Lanyard,/items/amulets/gunfiresecuritylanyard.png
Amulet_GunslingersCharm,qqg64h,Gunslinger's Charm,/items/amulets/gunslingerscharm.png
Amulet_HallowedEgg,pfew3v,Hallowed Egg,/items/amulets/hallowedegg.png
Amulet_HangmansNoose,4zvuco,,/items/amulets/hangmansnoose.png
Amulet_Hyperconductor,c0z3fy,Hyperconductor,/items/amulets/hyperconductor.png
Amulet_IndexOfTheScribe,3lzs0c,Index of the Scribe,/items/amulets/indexofthescribe.png
Amulet_IndignantFetish,dqhstq,Indignant Fetish,/items/amulets/indignantfetish.png
Amulet_InertOvercharger,k8d15f,Inert Overcharger,/items/amulets/inertovercharger.png
Amulet_InsipidTalon,65ygbg,Insipid Talon,/items/amulets/insipidtalon.png
